number,value,datetime_start,datetime_complete,duration,params_coef0,params_degree,params_gamma,params_kernel,params_nu,state
168,0.8444170720141398,2026-09-01 08:08:27.977955,2026-09-01 08:08:29.119105,0 days 00:00:01.141150,,,scale,rbf,0.2830661198658962,COMPLETE
169,0.8453502094395069,2026-09-01 08:08:29.182124,2026-09-01 08:08:30.278199,0 days 00:00:01.096075,,,scale,rbf,0.2724626938086742,COMPLETE
170,0.5451844181317852,2026-09-01 08:08:30.356875,2026-09-01 08:08:31.093562,0 days 00:00:00.736687,0.31766972783687364,,scale,sigmoid,0.2279096341859371,COMPLETE
171,0.8461665924228162,2026-09-01 08:08:31.165113,2026-09-01 08:08:32.220961,0 days 00:00:01.055848,,,scale,rbf,0.2614422562775773,COMPLETE
172,0.8462537091988129,2026-09-01 08:08:32.300215,2026-09-01 08:08:33.363578,0 days 00:00:01.063363,,,scale,rbf,0.2618248509008639,COMPLETE
173,0.8454925600477077,2026-09-01 08:08:33.442386,2026-09-01 08:08:34.479923,0 days 00:00:01.037537,,,scale,rbf,0.2523940782762881,COMPLETE
174,0.8458509063737147,2026-09-01 08:08:34.543559,2026-09-01 08:08:35.607600,0 days 00:00:01.064041,,,scale,rbf,0.25905949108730614,COMPLETE
175,0.8451854060539873,2026-09-01 08:08:35.671107,2026-09-01 08:08:36.804586,0 days 00:00:01.133479,,,scale,rbf,0.2767275513102361,COMPLETE
176,0.8452841982741898,2026-09-01 08:08:36.883928,2026-09-01 08:08:37.890580,0 days 00:00:01.006652,,,scale,rbf,0.24269505180647497,COMPLETE
177,0.8462016187554335,2026-09-01 08:08:37.954065,2026-09-01 08:08:39.028556,0 days 00:00:01.074491,,,scale,rbf,0.2644268090127039,COMPLETE
178,0.7011836206091349,2026-09-01 08:08:39.100996,2026-09-01 08:08:39.730946,0 days 00:00:00.629950,0.8156668908577414,4.0,scale,poly,0.2500109281788815,COMPLETE
179,0.8242284327602187,2026-09-01 08:08:39.794199,2026-09-01 08:08:40.945203,0 days 00:00:01.151004,,,auto,rbf,0.28559560241803417,COMPLETE
180,0.8461037246463239,2026-09-01 08:08:41.008844,2026-09-01 08:08:42.080087,0 days 00:00:01.071243,,,scale,rbf,0.260973881238115,COMPLETE
181,0.8460417549809242,2026-09-01 08:08:42.143670,2026-09-01 08:08:43.197084,0 days 00:00:01.053414,,,scale,rbf,0.2606115570562538,COMPLETE
182,0.8453704169390935,2026-09-01 08:08:43.276499,2026-09-01 08:08:44.375562,0 days 00:00:01.099063,,,scale,rbf,0.2722100127712885,COMPLETE
183,0.8455666542128596,2026-09-01 08:08:44.454072,2026-09-01 08:08:45.493954,0 days 00:00:01.039882,,,scale,rbf,0.25546913301442914,COMPLETE
184,0.8449357311702028,2026-09-01 08:08:45.557250,2026-09-01 08:08:46.533431,0 days 00:00:00.976181,,,scale,rbf,0.237786221776455,COMPLETE
185,0.8457431330425849,2026-09-01 08:08:46.612797,2026-09-01 08:08:47.713447,0 days 00:00:01.100650,,,scale,rbf,0.26847720739135195,COMPLETE
186,0.8449878216135823,2026-09-01 08:08:47.776986,2026-09-01 08:08:48.920765,0 days 00:00:01.143779,,,scale,rbf,0.27938016104127233,COMPLETE
187,0.845297669940581,2026-09-01 08:08:49.000309,2026-09-01 08:08:50.006619,0 days 00:00:01.006310,,,scale,rbf,0.2487358499118045,COMPLETE
188,0.8462447280878856,2026-09-01 08:08:50.085984,2026-09-01 08:08:51.141460,0 days 00:00:01.055476,,,scale,rbf,0.2617970672881394,COMPLETE
189,0.8440865671320079,2026-09-01 08:08:51.220915,2026-09-01 08:08:52.399426,0 days 00:00:01.178511,,,scale,rbf,0.294591734371375,COMPLETE
190,0.8454687601037498,2026-09-01 08:08:52.478876,2026-09-01 08:08:53.582971,0 days 00:00:01.104095,,,scale,rbf,0.2746845412359713,COMPLETE
191,0.8462878374203376,2026-09-01 08:08:53.662318,2026-09-01 08:08:54.729787,0 days 00:00:01.067469,,,scale,rbf,0.262058684150601,COMPLETE
192,0.8462411356435146,2026-09-01 08:08:54.793299,2026-09-01 08:08:55.864670,0 days 00:00:01.071371,,,scale,rbf,0.2630019967336508,COMPLETE
193,0.845616499378507,2026-09-01 08:08:55.944270,2026-09-01 08:08:56.952018,0 days 00:00:01.007748,,,scale,rbf,0.25502549545742054,COMPLETE
194,0.8451418476659889,2026-09-01 08:08:57.031369,2026-09-01 08:08:58.021425,0 days 00:00:00.990056,,,scale,rbf,0.2440898937828441,COMPLETE
195,0.844109468964873,2026-09-01 08:08:58.084996,2026-09-01 08:08:59.232687,0 days 00:00:01.147691,,,scale,rbf,0.28449436956844976,COMPLETE
196,0.8462685280318434,2026-09-01 08:08:59.296057,2026-09-01 08:09:00.367634,0 days 00:00:01.071577,,,scale,rbf,0.2634958314750336,COMPLETE
197,0.844784848506621,2026-09-01 08:09:00.447033,2026-09-01 08:09:01.388875,0 days 00:00:00.941842,,,scale,rbf,0.23324775470682657,COMPLETE
198,0.8454422658265137,2026-09-01 08:09:01.452386,2026-09-01 08:09:02.553584,0 days 00:00:01.101198,,,scale,rbf,0.2734487848467861,COMPLETE
199,0.8452523153303972,2026-09-01 08:09:02.617113,2026-09-01 08:09:03.643189,0 days 00:00:01.026076,,,scale,rbf,0.24939834653558302,COMPLETE
